time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1551430737.885891,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.8859,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.888178,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.888208,6,619,216.58.211.54,192.168.1.149,443,53954
1551430737.895109,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.921222,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.922563,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.922608,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.923473,6,46,192.168.1.149,216.58.211.54,53954,443
1551430737.969516,6,63,172.217.17.3,192.168.1.149,443,41806
1551430738.592436,6,135,192.168.1.149,216.58.211.54,53954,443
1551430738.616802,6,122,216.58.211.54,192.168.1.149,443,53954
1551430738.619574,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.61963,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.619646,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.619666,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.619674,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.61968,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.619685,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.621639,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.621658,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.621688,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.621694,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.621704,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.621709,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.621718,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.623698,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.623739,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.623747,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.623758,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.623764,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.623767,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.623771,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.623779,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.623782,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.623786,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.623789,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.623792,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.623796,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.625753,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.625772,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.625794,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.625799,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.625809,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.625813,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.625821,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.625829,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.625839,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.625843,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.625851,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.625855,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.627239,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.627251,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.629374,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.62939,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.629415,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.629425,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.629434,6,1418,216.58.211.54,192.168.1.149,443,53954
